asin,source_selected_image_url,html_image_url,valid_listing_rows,distinct_image_count,result
B0CBSP6SC2,https://m.media-amazon.com/images/I/411nFf+5ZWL.jpg,https://m.media-amazon.com/images/I/411nFf+5ZWL.jpg,1,1,PASS
B0CC61Q4XF,https://m.media-amazon.com/images/I/41vmDzi1aHL.jpg,https://m.media-amazon.com/images/I/41vmDzi1aHL.jpg,1,1,PASS
B0CC62QM7Y,https://m.media-amazon.com/images/I/41PiLNWzaYL.jpg,https://m.media-amazon.com/images/I/41PiLNWzaYL.jpg,1,1,PASS
B0CC65QCMF,https://m.media-amazon.com/images/I/41ex7gvK7yL.jpg,https://m.media-amazon.com/images/I/41ex7gvK7yL.jpg,1,1,PASS
B0CC9H9R6B,https://m.media-amazon.com/images/I/41HLD5wKlzL.jpg,https://m.media-amazon.com/images/I/41HLD5wKlzL.jpg,1,1,PASS
B0CC9HCBTS,https://m.media-amazon.com/images/I/21To7JXQizL.jpg,https://m.media-amazon.com/images/I/21To7JXQizL.jpg,1,1,PASS
B0CC9HLBK8,https://m.media-amazon.com/images/I/21Go--wNkBL.jpg,https://m.media-amazon.com/images/I/21Go--wNkBL.jpg,1,1,PASS
B0CC9K8CJY,https://m.media-amazon.com/images/I/21w-SdHPmfL.jpg,https://m.media-amazon.com/images/I/21w-SdHPmfL.jpg,1,1,PASS
B0CC9KS687,https://m.media-amazon.com/images/I/31eQqlEKXIL.jpg,https://m.media-amazon.com/images/I/31eQqlEKXIL.jpg,1,1,PASS
B0CC9MLKFJ,https://m.media-amazon.com/images/I/31YVx3LKfFL.jpg,https://m.media-amazon.com/images/I/31YVx3LKfFL.jpg,1,1,PASS
B0CC9MQZ84,https://m.media-amazon.com/images/I/317MC-EM0AL.jpg,https://m.media-amazon.com/images/I/317MC-EM0AL.jpg,1,1,PASS
B0CC9N1QFR,https://m.media-amazon.com/images/I/21AbQCzVVaL.jpg,https://m.media-amazon.com/images/I/21AbQCzVVaL.jpg,1,1,PASS
B0CC9N8HJS,https://m.media-amazon.com/images/I/313ZU4RD07L.jpg,https://m.media-amazon.com/images/I/313ZU4RD07L.jpg,1,1,PASS
B0CC9PLBYT,https://m.media-amazon.com/images/I/41J2Yc5yGWL.jpg,https://m.media-amazon.com/images/I/41J2Yc5yGWL.jpg,1,1,PASS
B0CC9PMP61,https://m.media-amazon.com/images/I/21LnArgpCzL.jpg,https://m.media-amazon.com/images/I/21LnArgpCzL.jpg,1,1,PASS
B0CCF5KBJH,https://m.media-amazon.com/images/I/21jyitbh+rL.jpg,https://m.media-amazon.com/images/I/21jyitbh+rL.jpg,3,2,PASS
B0CCF6K99Y,https://m.media-amazon.com/images/I/41R7nR94ErL.jpg,https://m.media-amazon.com/images/I/41R7nR94ErL.jpg,2,1,PASS
B0CCF83CYJ,https://m.media-amazon.com/images/I/41wpWe3Ug2L.jpg,https://m.media-amazon.com/images/I/41wpWe3Ug2L.jpg,1,1,PASS
B0CCJ4NTKZ,https://m.media-amazon.com/images/I/51Q73Dge3KL.jpg,https://m.media-amazon.com/images/I/51Q73Dge3KL.jpg,1,1,PASS
B0CCJ6LGKK,https://m.media-amazon.com/images/I/71iOTGSYI0L.jpg,https://m.media-amazon.com/images/I/71iOTGSYI0L.jpg,1,1,PASS
B0CCJ7D14K,https://m.media-amazon.com/images/I/61wWEaQh2RL.jpg,https://m.media-amazon.com/images/I/61wWEaQh2RL.jpg,1,1,PASS
B0CCJ7VWW4,https://m.media-amazon.com/images/I/31h2rSew+cL.jpg,https://m.media-amazon.com/images/I/31h2rSew+cL.jpg,1,1,PASS
B0CCJ84YJT,https://m.media-amazon.com/images/I/41qgHd3F0dL.jpg,https://m.media-amazon.com/images/I/41qgHd3F0dL.jpg,1,1,PASS
B0CCJ88P7B,https://m.media-amazon.com/images/I/31pKQ2edWLL.jpg,https://m.media-amazon.com/images/I/31pKQ2edWLL.jpg,1,1,PASS
B0CCJ8CZMW,https://m.media-amazon.com/images/I/31h2rSew+cL.jpg,https://m.media-amazon.com/images/I/31h2rSew+cL.jpg,1,1,PASS
B0CCJ8GK3H,https://m.media-amazon.com/images/I/61ntogTb8qL.jpg,https://m.media-amazon.com/images/I/61ntogTb8qL.jpg,1,1,PASS
B0CCJ8GT5G,https://m.media-amazon.com/images/I/61wWEaQh2RL.jpg,https://m.media-amazon.com/images/I/61wWEaQh2RL.jpg,1,1,PASS
B0CCJ8H5FM,https://m.media-amazon.com/images/I/21re3sRPBSL.jpg,https://m.media-amazon.com/images/I/21re3sRPBSL.jpg,1,1,PASS
B0CCJ8K8SW,https://m.media-amazon.com/images/I/41deJvACI2L.jpg,https://m.media-amazon.com/images/I/41deJvACI2L.jpg,1,1,PASS
B0CCJ8LSP2,https://m.media-amazon.com/images/I/41qYkAz5H6L.jpg,https://m.media-amazon.com/images/I/41qYkAz5H6L.jpg,1,1,PASS
B0CCJ8STB9,https://m.media-amazon.com/images/I/61Ec+8-f71L.jpg,https://m.media-amazon.com/images/I/61Ec+8-f71L.jpg,1,1,PASS
B0CCJ96LFX,https://m.media-amazon.com/images/I/31+TKB9bk2L.jpg,https://m.media-amazon.com/images/I/31+TKB9bk2L.jpg,1,1,PASS
B0CCJB8DP8,https://m.media-amazon.com/images/I/31h2rSew+cL.jpg,https://m.media-amazon.com/images/I/31h2rSew+cL.jpg,1,1,PASS
B0CCJBR7X1,https://m.media-amazon.com/images/I/41ExN1rKdyL.jpg,https://m.media-amazon.com/images/I/41ExN1rKdyL.jpg,1,1,PASS
B0CCJC5MDM,https://m.media-amazon.com/images/I/31De5IXe4KL.jpg,https://m.media-amazon.com/images/I/31De5IXe4KL.jpg,1,1,PASS
B0CCJCDZR8,https://m.media-amazon.com/images/I/31pKQ2edWLL.jpg,https://m.media-amazon.com/images/I/31pKQ2edWLL.jpg,1,1,PASS
B0CCJQMZZ8,https://m.media-amazon.com/images/I/41jKc-qIK6L.jpg,https://m.media-amazon.com/images/I/41jKc-qIK6L.jpg,2,2,PASS
B0CCL8GK6H,https://m.media-amazon.com/images/I/41Ral57afTL.jpg,https://m.media-amazon.com/images/I/41Ral57afTL.jpg,1,1,PASS
B0CCLB7RFR,https://m.media-amazon.com/images/I/41xS0fpXOCL.jpg,https://m.media-amazon.com/images/I/41xS0fpXOCL.jpg,1,1,PASS
B0CCLC75FH,https://m.media-amazon.com/images/I/41h8SKQbQBL.jpg,https://m.media-amazon.com/images/I/41h8SKQbQBL.jpg,1,1,PASS
B0CCW29XS8,https://m.media-amazon.com/images/I/41nO-m8jPtL.jpg,https://m.media-amazon.com/images/I/41nO-m8jPtL.jpg,1,1,PASS
B0CCW6LMXF,https://m.media-amazon.com/images/I/41HLScA2IpL.jpg,https://m.media-amazon.com/images/I/41HLScA2IpL.jpg,1,1,PASS
B0CCW86LQF,https://m.media-amazon.com/images/I/41JIfZgNN+L.jpg,https://m.media-amazon.com/images/I/41JIfZgNN+L.jpg,2,2,PASS
B0CCYFH6XY,https://m.media-amazon.com/images/I/41FUMSBiVtL.jpg,https://m.media-amazon.com/images/I/41FUMSBiVtL.jpg,1,1,PASS
B0CD2C431D,https://m.media-amazon.com/images/I/41h8SKQbQBL.jpg,https://m.media-amazon.com/images/I/41h8SKQbQBL.jpg,1,1,PASS
B0CD2D4QDH,https://m.media-amazon.com/images/I/51LrQ0BgFjL.jpg,https://m.media-amazon.com/images/I/51LrQ0BgFjL.jpg,1,1,PASS
B0CD2G3VX2,https://m.media-amazon.com/images/I/41DBmHJvJYL.jpg,https://m.media-amazon.com/images/I/41DBmHJvJYL.jpg,2,2,PASS
B0CF8RVSCL,https://m.media-amazon.com/images/I/410IXJ7pw7L.jpg,https://m.media-amazon.com/images/I/410IXJ7pw7L.jpg,1,1,PASS
B0CFTTXSB9,https://m.media-amazon.com/images/I/519ey4eO95L.jpg,https://m.media-amazon.com/images/I/519ey4eO95L.jpg,2,2,PASS
B0CFTV6BY6,https://m.media-amazon.com/images/I/41WDwG5HupL.jpg,https://m.media-amazon.com/images/I/41WDwG5HupL.jpg,2,1,PASS
B0CFTVRY4L,https://m.media-amazon.com/images/I/41407ySUObL.jpg,https://m.media-amazon.com/images/I/41407ySUObL.jpg,1,1,PASS
B0CFTWSXNV,https://m.media-amazon.com/images/I/41zMUay5MZL.jpg,https://m.media-amazon.com/images/I/41zMUay5MZL.jpg,1,1,PASS
B0CG5XVG11,https://m.media-amazon.com/images/I/41-hrxIeymL.jpg,https://m.media-amazon.com/images/I/41-hrxIeymL.jpg,1,1,PASS
B0CG5YC965,https://m.media-amazon.com/images/I/71A+RIgGUlL.jpg,https://m.media-amazon.com/images/I/71A+RIgGUlL.jpg,1,1,PASS
B0CG5YGHNW,https://m.media-amazon.com/images/I/713BxvDsuML.jpg,https://m.media-amazon.com/images/I/713BxvDsuML.jpg,1,1,PASS
B0CG5YZXMP,https://m.media-amazon.com/images/I/41oWlWx90wL.jpg,https://m.media-amazon.com/images/I/41oWlWx90wL.jpg,2,1,PASS
B0CG5ZHJYF,https://m.media-amazon.com/images/I/81ocW0TboNL.jpg,https://m.media-amazon.com/images/I/81ocW0TboNL.jpg,2,2,PASS
B0CG61V914,https://m.media-amazon.com/images/I/81trq+PH8tL.jpg,https://m.media-amazon.com/images/I/81trq+PH8tL.jpg,1,1,PASS
B0CG8MKK56,https://m.media-amazon.com/images/I/41AZ4EifwqL.jpg,https://m.media-amazon.com/images/I/41AZ4EifwqL.jpg,3,2,PASS
B0CGVGS81Z,https://m.media-amazon.com/images/I/11Sv8dms9hL.jpg,https://m.media-amazon.com/images/I/11Sv8dms9hL.jpg,3,1,PASS
B0CGZQ6JCN,https://m.media-amazon.com/images/I/41o9gNAImRL.jpg,https://m.media-amazon.com/images/I/41o9gNAImRL.jpg,3,1,PASS
B0CGZQV9Y7,https://m.media-amazon.com/images/I/61Y3AE5dZTL.jpg,https://m.media-amazon.com/images/I/61Y3AE5dZTL.jpg,4,2,PASS
B0CGZRV5GV,https://m.media-amazon.com/images/I/514MD5SUw6L.jpg,https://m.media-amazon.com/images/I/514MD5SUw6L.jpg,2,2,PASS
B0CGZSD2RV,https://m.media-amazon.com/images/I/61E3vwtiWYL.jpg,https://m.media-amazon.com/images/I/61E3vwtiWYL.jpg,4,2,PASS
B0CH2WX37Y,https://m.media-amazon.com/images/I/51SoR5m-ZhL.jpg,https://m.media-amazon.com/images/I/51SoR5m-ZhL.jpg,2,1,PASS
B0CH2XHVD9,https://m.media-amazon.com/images/I/71hMPapqSyL.jpg,https://m.media-amazon.com/images/I/71hMPapqSyL.jpg,1,1,PASS
B0CH2XP8HC,https://m.media-amazon.com/images/I/31daN7glwqL.jpg,https://m.media-amazon.com/images/I/31daN7glwqL.jpg,1,1,PASS
B0CH86VKRD,https://m.media-amazon.com/images/I/41DnHs6spqL.jpg,https://m.media-amazon.com/images/I/41DnHs6spqL.jpg,1,1,PASS
B0CH8815H7,https://m.media-amazon.com/images/I/31gr4jtCN6L.jpg,https://m.media-amazon.com/images/I/31gr4jtCN6L.jpg,1,1,PASS
B0CHMSPNSP,https://m.media-amazon.com/images/I/41AZ4EifwqL.jpg,https://m.media-amazon.com/images/I/41AZ4EifwqL.jpg,1,1,PASS
B0CJ4Q2DF3,https://m.media-amazon.com/images/I/41OkAqxteLL.jpg,https://m.media-amazon.com/images/I/41OkAqxteLL.jpg,4,2,PASS
B0CJ4QZ15C,https://m.media-amazon.com/images/I/31nhV-a2X9L.jpg,https://m.media-amazon.com/images/I/31nhV-a2X9L.jpg,2,2,PASS
B0CJ4R5796,https://m.media-amazon.com/images/I/419r+1LkUTL.jpg,https://m.media-amazon.com/images/I/419r+1LkUTL.jpg,2,1,PASS
B0CJ4RX6S2,https://m.media-amazon.com/images/I/61aws+v69HL.jpg,https://m.media-amazon.com/images/I/61aws+v69HL.jpg,1,1,PASS
