asin,source_vendor_sales,html_vendor_sales,vendor_sales_diff,source_vendor_units,html_vendor_units,vendor_units_diff,result
B093T3WNMZ,13.24,13.24,0,1,1,0,PASS
B093T3YTQ7,0,0,0,0,0,0,PASS
B093T47DB9,4218.8,4218.8,0,486,486,0,PASS
B093T47MYR,2472.13,2472.13,0,279,279,0,PASS
B093T4BCYY,0,0,0,0,0,0,PASS
B093T4C3T5,0,0,0,0,0,0,PASS
B093T4C95B,74.11,74.11,0,6,6,0,PASS
B093T4FQVW,49.62,49.62,0,4,4,0,PASS
B093T4JFNN,0,0,0,0,0,0,PASS
B093T4KT3T,9.07,9.07,0,1,1,0,PASS
B093T4L68X,187.07,187.07,0,14,14,0,PASS
B093T4MX3H,0,0,0,0,0,0,PASS
B093T4RJ2F,0,0,0,0,0,0,PASS
B093T4RM87,0,0,0,0,0,0,PASS
B093T52NGL,24.03,24.03,0,2,2,0,PASS
B093TDJGGL,1855.73,1855.73,0,296,296,0,PASS
B093TDWT9W,2608.26,2608.26,0,436,436,0,PASS
B093TJ9XMH,0,0,0,0,0,0,PASS
B094Y2TSVW,0,0,0,0,0,0,PASS
B095C9WS86,0,0,0,0,0,0,PASS
B095CDCHT2,0,0,0,0,0,0,PASS
B095CF2KJ5,0,0,0,0,0,0,PASS
B095PNG4CN,0,0,0,0,0,0,PASS
B095PNWV1J,0,0,0,0,0,0,PASS
B095PQ4R9M,0,0,0,0,0,0,PASS
B095PRHY6W,0,0,0,0,0,0,PASS
B095PT9Q9S,0,0,0,0,0,0,PASS
B095PVFF8B,0,0,0,0,0,0,PASS
B096VRY6HK,0,0,0,0,0,0,PASS
B096VSZGYY,0,0,0,0,0,0,PASS
B097KBBBPK,0,0,0,0,0,0,PASS
B09B42DZ51,0,0,0,0,0,0,PASS
B09B4385MF,0,0,0,0,0,0,PASS
B09B455L48,0,0,0,0,0,0,PASS
B09B45XPFC,0,0,0,0,0,0,PASS
B09J8YNKTR,0,0,0,0,0,0,PASS
B09V18RTM7,0,0,0,0,0,0,PASS
B0BT82BNTS,18.14,18.14,0,2,2,0,PASS
B0BT82CN5B,0,0,0,0,0,0,PASS
B0BT82TZHN,0,0,0,0,0,0,PASS
B0BT82YDJK,0,0,0,0,0,0,PASS
B0BT82Z2LZ,0,0,0,0,0,0,PASS
B0BT83ZLGM,8.99,8.99,0,1,1,0,PASS
B0BVZKS9VP,0,0,0,0,0,0,PASS
B0BW4G5LLG,0,0,0,0,0,0,PASS
B0BW4MYF23,0,0,0,0,0,0,PASS
B0BW4NG3GP,0,0,0,0,0,0,PASS
B0BW4PW866,0,0,0,0,0,0,PASS
B0BWJV94SW,0,0,0,0,0,0,PASS
B0BWJVMLCG,0,0,0,0,0,0,PASS
B0BWJVXGT6,0,0,0,0,0,0,PASS
B0BWJW4R8T,0,0,0,0,0,0,PASS
B0BWJW5MDH,0,0,0,0,0,0,PASS
B0BWJWCNK9,0,0,0,0,0,0,PASS
B0BWJWGXD4,0,0,0,0,0,0,PASS
B0BWJWPNK6,0,0,0,0,0,0,PASS
B0BWJWWWL2,0,0,0,0,0,0,PASS
B0BWJWYS4P,0,0,0,0,0,0,PASS
B0BWJWZLW5,0,0,0,0,0,0,PASS
B0BWJXQC9Z,0,0,0,0,0,0,PASS
B0BWJXVG2P,0,0,0,0,0,0,PASS
B0BWNHCDD4,0,0,0,0,0,0,PASS
B0BWNHG8K9,0,0,0,0,0,0,PASS
B0BWNHTXYM,0,0,0,0,0,0,PASS
B0BWNJVGCP,0,0,0,0,0,0,PASS
B0BWNKLZDR,0,0,0,0,0,0,PASS
B0BWNKRWTW,0,0,0,0,0,0,PASS
B0BWNL4X15,0,0,0,0,0,0,PASS
B0BWNLPNNM,0,0,0,0,0,0,PASS
B0BWNM7SXW,0,0,0,0,0,0,PASS
B0BWRJJWW4,0,0,0,0,0,0,PASS
B0BWS58M45,0,0,0,0,0,0,PASS
B0BWS65HG6,0,0,0,0,0,0,PASS
B0BWS6GSL7,0,0,0,0,0,0,PASS
B0BWS6V8RM,0,0,0,0,0,0,PASS
B0BWS7GYWL,0,0,0,0,0,0,PASS
B0BWS7JGH9,0,0,0,0,0,0,PASS
B0BWS7PZ92,0,0,0,0,0,0,PASS
B0BWS7R5M9,0,0,0,0,0,0,PASS
B0BWS7SZNL,0,0,0,0,0,0,PASS
B0BWS89TLJ,0,0,0,0,0,0,PASS
B0BWS8HNHX,0,0,0,0,0,0,PASS
B0BWS8JP79,0,0,0,0,0,0,PASS
B0BWS8WR39,0,0,0,0,0,0,PASS
B0BWSB12W8,0,0,0,0,0,0,PASS
B0BWTV2937,0,0,0,0,0,0,PASS
B0BWTX1RJ6,0,0,0,0,0,0,PASS
B0BWTX5K2W,0,0,0,0,0,0,PASS
B0BWTX6NJ8,0,0,0,0,0,0,PASS
B0BWTXX397,0,0,0,0,0,0,PASS
B0BWTY1269,0,0,0,0,0,0,PASS
B0BWTY1TRR,0,0,0,0,0,0,PASS
B0BWTY3YZS,0,0,0,0,0,0,PASS
B0BWTZ1238,0,0,0,0,0,0,PASS
B0BWYFBZDV,0,0,0,0,0,0,PASS
B0BWYGBNS7,0,0,0,0,0,0,PASS
B0BWYGFPSN,0,0,0,0,0,0,PASS
B0BWYGFXPL,0,0,0,0,0,0,PASS
B0BWYGKPXF,0,0,0,0,0,0,PASS
B0BWYGL5JL,0,0,0,0,0,0,PASS
B0BWYH1QD6,0,0,0,0,0,0,PASS
B0BWYH5ZD7,0,0,0,0,0,0,PASS
B0BWYHBB1X,0,0,0,0,0,0,PASS
B0BX3WF5W9,0,0,0,0,0,0,PASS
B0BX3WFQ54,0,0,0,0,0,0,PASS
B0BX3WFQCZ,0,0,0,0,0,0,PASS
B0BX3WJ8XT,12.49,12.49,0,1,1,0,PASS
B0BX3Y8RQL,0,0,0,0,0,0,PASS
B0BX3YZZX5,0,0,0,0,0,0,PASS
B0BX41N2J5,0,0,0,0,0,0,PASS
B0BX41RTTW,0,0,0,0,0,0,PASS
B0BX42221D,0,0,0,0,0,0,PASS
B0BX422224,12.49,12.49,0,1,1,0,PASS
B0BX42DWWZ,0,0,0,0,0,0,PASS
B0BX43LBC1,0,0,0,0,0,0,PASS
B0BX441NG5,0,0,0,0,0,0,PASS
B0BX44PZG7,11.91,11.91,0,1,1,0,PASS
B0BX45BX2R,0,0,0,0,0,0,PASS
B0BX46169V,0,0,0,0,0,0,PASS
B0BX46W4NQ,0,0,0,0,0,0,PASS
B0BX49CTDR,0,0,0,0,0,0,PASS
B0BX49LJ1B,0,0,0,0,0,0,PASS
B0BX49RQRY,0,0,0,0,0,0,PASS
B0BX4B6F3W,0,0,0,0,0,0,PASS
B0BX4C6Y19,0,0,0,0,0,0,PASS
B0BX4CCKWJ,0,0,0,0,0,0,PASS
B0BX4CCRYC,0,0,0,0,0,0,PASS
B0BX4D9YS6,0,0,0,0,0,0,PASS
B0BX4DWGHD,0,0,0,0,0,0,PASS
B0BX4GWZK3,0,0,0,0,0,0,PASS
B0BY52F5KT,0,0,0,0,0,0,PASS
B0BY532NF9,0,0,0,0,0,0,PASS
B0BY56SQKF,0,0,0,0,0,0,PASS
B0BY57G4PR,0,0,0,0,0,0,PASS
B0BY58C6W5,0,0,0,0,0,0,PASS
B0C1K81F8G,0,0,0,0,0,0,PASS
B0C1K8NNTS,0,0,0,0,0,0,PASS
B0C1KHWNCJ,15.24,15.24,0,1,1,0,PASS
B0C2KR7JQ6,0,0,0,0,0,0,PASS
B0C2KRMRKX,9.91,9.91,0,1,1,0,PASS
B0C2KRQDF8,0,0,0,0,0,0,PASS
B0C2KTQSBY,0,0,0,0,0,0,PASS
B0C2KTS5Z6,0,0,0,0,0,0,PASS
B0C2KV6F4Y,0,0,0,0,0,0,PASS
B0C2KVC5Q9,0,0,0,0,0,0,PASS
B0C2KVH4C9,9.91,9.91,0,1,1,0,PASS
B0C2KVM2G2,0,0,0,0,0,0,PASS
B0C2KW1KL4,0,0,0,0,0,0,PASS
B0C2KW36BR,0,0,0,0,0,0,PASS
B0C37FMDF5,214.22,214.22,0,20,20,0,PASS
B0C37GN56P,0,0,0,0,0,0,PASS
B0C37HDW7C,0,0,0,0,0,0,PASS
B0C37HRV9V,9.91,9.91,0,1,1,0,PASS
B0C37JCQS7,0,0,0,0,0,0,PASS
B0C37JGRSW,0,0,0,0,0,0,PASS
B0C37JZZ7Z,0,0,0,0,0,0,PASS
B0C37KMS2T,19.82,19.82,0,2,2,0,PASS
B0C3GVMZ1G,10.74,10.74,0,1,1,0,PASS
B0C3GW4TBV,19.82,19.82,0,2,2,0,PASS
B0C3GX7DNZ,28.98,28.98,0,3,3,0,PASS
B0C3GY6GVJ,19.98,19.98,0,2,2,0,PASS
B0C3GY929H,39.64,39.64,0,4,4,0,PASS
B0C3GYCJXX,19.82,19.82,0,2,2,0,PASS
B0C3GYVP4J,29.73,29.73,0,3,3,0,PASS
B0C3H1WPMH,0,0,0,0,0,0,PASS
B0C3RJ2R51,9.07,9.07,0,1,1,0,PASS
B0C3ZPTYTQ,0,0,0,0,0,0,PASS
B0C3ZSKKTC,0,0,0,0,0,0,PASS
B0C3ZT3VR1,372.68,372.68,0,28,28,0,PASS
B0C3ZT6D5G,161.17,161.17,0,13,13,0,PASS
B0C3ZT8HVF,105.92,105.92,0,8,8,0,PASS
B0C3ZTBRHZ,299.35,299.35,0,23,23,0,PASS
B0C3ZTKF5K,13.24,13.24,0,1,1,0,PASS
B0C3ZTR2VC,59.29,59.29,0,4,4,0,PASS
B0C3ZTYGH8,0,0,0,0,0,0,PASS
B0C3ZVCSP7,14.07,14.07,0,1,1,0,PASS
B0C46V4QZV,0,0,0,0,0,0,PASS
B0C4HC2TTJ,0,0,0,0,0,0,PASS
B0C4HCRZ32,0,0,0,0,0,0,PASS
B0C4HCZ57T,0,0,0,0,0,0,PASS
B0C4LWFNNQ,0,0,0,0,0,0,PASS
B0C4LWG9JR,0,0,0,0,0,0,PASS
B0C4LWJMCS,29.73,29.73,0,3,3,0,PASS
B0C4LX1VXL,0,0,0,0,0,0,PASS
B0C5XWK2V7,0,0,0,0,0,0,PASS
B0C5XXZBQJ,0,0,0,0,0,0,PASS
